address,bathrooms,bedrooms,price_from,distance_to_ucsb_miles
"6571 Sabado Tarde Rd Unit 7, Goleta, CA 93117, United States",1.5,2,4200,0.56
"6571 Sabado Tarde Rd Unit 3, Goleta, CA 93117, United States",2,3,4150,0.56
"6510 Sabado Tarde Rd Unit H, Goleta, CA 93117, United States",1,0,2900,0.38
"6510 Sabado Tarde Rd Unit A, Goleta, CA 93117, United States",1,1,3500,0.38
"6510 Sabado Tarde Rd Unit G, Goleta, CA 93117, United States",1,1,3500,0.38
"6510 Sabado Tarde Rd Unit C , Goleta, CA 93117, United States",1,2,5500,0.38
"6510 Sabado Tarde Rd Unit I , Goleta, CA 93117, United States",1,2,5500,0.38
"6621 Picasso Rd Unit 11, Goleta, CA 93117, United States",1,1,2600,0.61
"6621 Picasso Rd Unit 9, Goleta, CA 93117, United States",1,2,2995,0.61
"807 Embarcadero del Norte Unit 1578101112, Goleta, CA 93117, United States",1,1,2650,0.4
"807 Embarcadero del Norte Unit 2414 Goleta, CA 93117, United States",1,1,2650,0.4
"807 Embarcadero del Norte Unit 181920, Goleta, CA 93117, United States",1,1,2650,0.4
"6691 Abrego Rd Goleta, CA  93117, United States",1,1,2600,0.76
"6659 Abrego Rd Unit AB,  Goleta, CA  93117, United States",1,2,5200,0.7
"760 Embercardero del Norte Unit 12, Goleta, CA 93117, United States",1,1,3500,0.38
"760 Embercardero del Norte Unit 78, Goleta, CA 93117, United States",1,1,3500,0.38
"760 Embercardero del Norte Unit 11, Goleta, CA 93117, United States",1,1,3500,0.38
"6640 Pasado Rd, Goleta, CA 93117, United States",2,3,5600,1.2
"6873 Fortuna Rd Goleta, CA 93117",1,1,1100,1.6
"674 Sueno Road, Goleta,CA 93117",2,5,12500,1.6
"6773 Estero Rd Goleta, CA 93117",3,5,13500,1.6
"6555 Segovia Rd Goleta, CA 93117",3.5,7,16800,0.8
"280 Royal Linda Dr, Goleta, CA 93117, United States",1,1,1500,3.8
"759 Embarcadero del Mar Isla Vista, CA 93117",1,1,1150,0.7
"6531 Sabado Tarde Rd, Isla Vista, CA 93117, United States",2,2,5400,1.1
"6896 Willowgrove Dr Goleta, CA 93117",1,1,1600,1.5
"6719 Sabado Tarde Rd Isla Vista, CA 93117",1,1,0,1.4
"777 Camino Pescadero Isla Vista, CA 93117",1,1,876,0.8
"6503 Madrid Rd Apt 1 Isla Vista, CA 93117",1,0,1852,0.9
"6503 Madrid Rd Apt 4 Isla Vista, CA 93117",1,0,1852,0.9
"6503 Madrid Rd Apt 9 Isla Vista, CA 93117",1,0,0,0.9
"6503 Madrid Rd Apt 2 Isla Vista, CA 93117",1,2,968,0.9
"6503 Madrid Rd Apt 3 Isla Vista, CA 93117",1,2,968,0.9
"6503 Madrid Rd Apt 5 Isla Vista, CA 93117",1,2,968,0.9
"6503 Madrid Rd Apt 6 Isla Vista, CA 93117",1,2,968,0.9
"6503 Madrid Rd Apt 7 Isla Vista, CA 93117",1,2,968,0.9
"6503 Madrid Rd Apt 8 Isla Vista, CA 93117",1,2,968,0.9
"6740 Pasado Rd Goleta, CA 93117",2,2,4995,1.4
"6612 Sueno Rd Goleta, CA 93117",1,1,0,1.1
"732 Del Norte Dr, Goleta, CA 93117, United States",1,1,876,3.4
